date,hbt,hb_name,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,percent_meeting_target
2018-01-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,182,180,98.9010989010989
2018-01-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,46,45,97.82608695652173
2018-01-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,5422,4787,88.2884544448543
2018-01-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,2840,2459,86.58450704225352
2018-01-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,73,73,100
2018-01-01,S08000016,NHS Borders,B103H,Minor Injury Unit or Other,7,7,100
2018-01-01,S08000016,NHS Borders,B105H,Minor Injury Unit or Other,70,70,100
2018-01-01,S08000016,NHS Borders,B114H,Minor Injury Unit or Other,11,11,100
2018-01-01,S08000016,NHS Borders,B118H,Minor Injury Unit or Other,56,56,100
2018-01-01,S08000016,NHS Borders,B120H,Emergency Department,2392,2057,85.99498327759197
2018-01-01,S08000017,NHS Dumfries and Galloway,Y101H,Minor Injury Unit or Other,16,16,100
2018-01-01,S08000017,NHS Dumfries and Galloway,Y106H,Minor Injury Unit or Other,35,35,100
2018-01-01,S08000017,NHS Dumfries and Galloway,Y110H,Minor Injury Unit or Other,8,8,100
2018-01-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,967,875,90.4860392967942
2018-01-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2686,2257,84.0282948622487
2018-01-01,S08000029,NHS Fife,F704H,Emergency Department,5289,4738,89.58215163546984
2018-01-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,92,92,100
2018-01-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,213,213,100
2018-01-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1440,1439,99.93055555555556
2018-01-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,1338,1337,99.9252615844544
2018-01-01,S08000019,NHS Forth Valley,V217H,Emergency Department,4956,3893,78.55125100887813
2018-01-01,S08000020,NHS Grampian,N101H,Emergency Department,4812,4021,83.5619285120532
2018-01-01,S08000020,NHS Grampian,N121H,Emergency Department,1158,1146,98.96373056994818
2018-01-01,S08000020,NHS Grampian,N151H,Minor Injury Unit or Other,94,94,100
2018-01-01,S08000020,NHS Grampian,N331H,Minor Injury Unit or Other,9,9,100
2018-01-01,S08000020,NHS Grampian,N332H,Minor Injury Unit or Other,33,33,100
2018-01-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,1372,1371,99.9271137026239
2018-01-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,683,683,100
2018-01-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,242,238,98.34710743801654
2018-01-01,S08000020,NHS Grampian,N336H,Minor Injury Unit or Other,103,103,100
2018-01-01,S08000020,NHS Grampian,N337H,Minor Injury Unit or Other,269,267,99.25650557620817
2018-01-01,S08000020,NHS Grampian,N411H,Emergency Department,1992,1929,96.83734939759037
2018-01-01,S08000020,NHS Grampian,N431H,Minor Injury Unit or Other,50,50,100
2018-01-01,S08000020,NHS Grampian,N432H,Minor Injury Unit or Other,6,6,100
2018-01-01,S08000020,NHS Grampian,N433H,Minor Injury Unit or Other,84,84,100
2018-01-01,S08000020,NHS Grampian,N451H,Minor Injury Unit or Other,7,7,100
2018-01-01,S08000020,NHS Grampian,N494H,Minor Injury Unit or Other,79,79,100
2018-01-01,S08000020,NHS Grampian,N683C,Minor Injury Unit or Other,50,50,100
2018-01-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1354,1272,93.94387001477105
2018-01-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2628,2264,86.14916286149162
2018-01-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,5449,4408,80.89557717012296
2018-01-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,7336,5648,76.99018538713194
2018-01-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1525,1525,100
2018-01-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,2518,2517,99.96028594122319
2018-01-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,7747,6137,79.21776171421196
2018-01-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,4769,4634,97.16921786538059
2018-01-01,S08000031,NHS Greater Glasgow and Clyde,G516H,Minor Injury Unit or Other,567,567,100
2018-01-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,665,664,99.84962406015038
2018-01-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,108,108,100
2018-01-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,296,285,96.28378378378379
2018-01-01,S08000022,NHS Highland,C121H,Emergency Department,590,572,96.94915254237289
2018-01-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,435,425,97.70114942528735
2018-01-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,155,154,99.35483870967742
2018-01-01,S08000022,NHS Highland,H103H,Emergency Department,583,566,97.08404802744425
