hb,hb_name,wdate,year,month,day,iswinter,age_band,admissions,avg_20182019,percent_var
S92000003,All Scotland,2020-03-01,2020,3,1,TRUE,Under 18,0,NA,NA
S92000003,All Scotland,2020-03-08,2020,3,8,TRUE,Under 18,0,NA,NA
S92000003,All Scotland,2020-03-15,2020,3,15,TRUE,Under 18,0,NA,NA
S92000003,All Scotland,2020-03-22,2020,3,22,TRUE,Under 18,0,NA,NA
S92000003,All Scotland,2020-03-29,2020,3,29,TRUE,Under 18,6,NA,NA
S92000003,All Scotland,2020-04-05,2020,4,5,FALSE,Under 18,8,NA,NA
S92000003,All Scotland,2020-04-12,2020,4,12,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-04-19,2020,4,19,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-04-26,2020,4,26,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-05-03,2020,5,3,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-05-10,2020,5,10,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-05-17,2020,5,17,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-05-24,2020,5,24,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-05-31,2020,5,31,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-06-07,2020,6,7,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-06-14,2020,6,14,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-06-21,2020,6,21,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-06-28,2020,6,28,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-07-05,2020,7,5,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-07-12,2020,7,12,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-07-19,2020,7,19,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-07-26,2020,7,26,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-08-02,2020,8,2,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-08-09,2020,8,9,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-08-16,2020,8,16,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-08-23,2020,8,23,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-08-30,2020,8,30,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-09-06,2020,9,6,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-09-13,2020,9,13,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-09-20,2020,9,20,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-09-27,2020,9,27,FALSE,Under 18,0,NA,NA
S92000003,All Scotland,2020-10-04,2020,10,4,TRUE,Under 18,0,NA,NA
S92000003,All Scotland,2020-10-11,2020,10,11,TRUE,Under 18,7,NA,NA
S92000003,All Scotland,2020-10-18,2020,10,18,TRUE,Under 18,9,NA,NA
S92000003,All Scotland,2020-10-25,2020,10,25,TRUE,Under 18,9,NA,NA
S92000003,All Scotland,2020-11-01,2020,11,1,TRUE,Under 18,7,NA,NA
S92000003,All Scotland,2020-11-08,2020,11,8,TRUE,Under 18,12,NA,NA
S92000003,All Scotland,2020-11-15,2020,11,15,TRUE,Under 18,11,NA,NA
S92000003,All Scotland,2020-11-22,2020,11,22,TRUE,Under 18,7,NA,NA
S92000003,All Scotland,2020-11-29,2020,11,29,TRUE,Under 18,8,NA,NA
S92000003,All Scotland,2020-12-06,2020,12,6,TRUE,Under 18,9,NA,NA
S92000003,All Scotland,2020-12-13,2020,12,13,TRUE,Under 18,0,NA,NA
S92000003,All Scotland,2020-12-20,2020,12,20,TRUE,Under 18,8,NA,NA
S92000003,All Scotland,2020-12-27,2020,12,27,TRUE,Under 18,9,NA,NA
S92000003,All Scotland,2021-01-03,2021,1,3,TRUE,Under 18,19,NA,NA
S92000003,All Scotland,2021-01-10,2021,1,10,TRUE,Under 18,13,NA,NA
S92000003,All Scotland,2021-01-17,2021,1,17,TRUE,Under 18,15,NA,NA
S92000003,All Scotland,2021-01-24,2021,1,24,TRUE,Under 18,14,NA,NA
S92000003,All Scotland,2021-01-31,2021,1,31,TRUE,Under 18,11,NA,NA
