id,mdate,year,month,iswinter,hb,hb_name,age_group,reason_for_delay,number_of_delayed_bed_days,avg_20182019,percent_var
1,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,All (18plus),All Delay Reasons,2574,3844.625,-33.04938713138473
2,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,All (18plus),Health and Social Care Reasons,1976,3214.5,-38.52854254160834
3,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,All (18plus),Patient and Family Related Reasons,0,21.583333333333336,-100
4,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,All (18plus),Code 9 AWI,472,485.6666666666667,-2.8140013726836
5,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,All (18plus),Code 9 Non-AWI,126,122.875,2.5432349949135302
6,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,18-74,All Delay Reasons,355,850.125,-58.24143508307602
7,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,18-74,Health and Social Care Reasons,222,674.5416666666667,-67.08876397553895
8,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,18-74,Patient and Family Related Reasons,0,3.0833333333333335,-100.00000000000001
9,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,18-74,Code 9 AWI,124,113.95833333333334,8.811700182815347
10,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,18-74,Code 9 Non-AWI,9,58.541666666666664,-84.62633451957295
11,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,75plus,All Delay Reasons,2219,2994.5,-25.897478710970113
12,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,75plus,Health and Social Care Reasons,1754,2539.9583333333335,-30.943749077248643
13,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,75plus,Patient and Family Related Reasons,0,18.5,-100
14,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,75plus,Code 9 AWI,348,371.7083333333333,-6.378208720995398
15,2016-07-01,2016,7,FALSE,S08000015,NHS Ayrshire and Arran,75plus,Code 9 Non-AWI,117,64.33333333333333,81.86528497409327
