month_ending,hb,hb_name,patient_type,number_waiting,number_waiting_over12weeks
2018-02-28,S08000015,NHS Ayrshire and Arran,New Outpatient,21458,3854
2019-02-28,S08000015,NHS Ayrshire and Arran,New Outpatient,25815,5370
2021-02-28,S08000015,NHS Ayrshire and Arran,New Outpatient,34185,21730
2022-02-28,S08000015,NHS Ayrshire and Arran,New Outpatient,41886,26604
2020-02-29,S08000015,NHS Ayrshire and Arran,New Outpatient,21604,3862
2018-04-30,S08000015,NHS Ayrshire and Arran,New Outpatient,22920,3134
2019-04-30,S08000015,NHS Ayrshire and Arran,New Outpatient,25277,4244
2020-04-30,S08000015,NHS Ayrshire and Arran,New Outpatient,20664,8422
2021-04-30,S08000015,NHS Ayrshire and Arran,New Outpatient,36615,21637
2022-04-30,S08000015,NHS Ayrshire and Arran,New Outpatient,41388,24927
2018-06-30,S08000015,NHS Ayrshire and Arran,New Outpatient,24310,3408
2019-06-30,S08000015,NHS Ayrshire and Arran,New Outpatient,25400,4456
2020-06-30,S08000015,NHS Ayrshire and Arran,New Outpatient,22907,16003
2021-06-30,S08000015,NHS Ayrshire and Arran,New Outpatient,37837,21349
2022-06-30,S08000015,NHS Ayrshire and Arran,New Outpatient,42637,25511
2018-09-30,S08000015,NHS Ayrshire and Arran,New Outpatient,25223,5060
2019-09-30,S08000015,NHS Ayrshire and Arran,New Outpatient,24975,4653
2020-09-30,S08000015,NHS Ayrshire and Arran,New Outpatient,29323,16044
2021-09-30,S08000015,NHS Ayrshire and Arran,New Outpatient,39466,23799
2022-09-30,S08000015,NHS Ayrshire and Arran,New Outpatient,44024,26973
2018-11-30,S08000015,NHS Ayrshire and Arran,New Outpatient,25070,4819
2019-11-30,S08000015,NHS Ayrshire and Arran,New Outpatient,22620,4025
2020-11-30,S08000015,NHS Ayrshire and Arran,New Outpatient,31603,18044
2021-11-30,S08000015,NHS Ayrshire and Arran,New Outpatient,38767,23532
2018-01-31,S08000015,NHS Ayrshire and Arran,New Outpatient,21520,4134
2019-01-31,S08000015,NHS Ayrshire and Arran,New Outpatient,25118,5204
2020-01-31,S08000015,NHS Ayrshire and Arran,New Outpatient,21769,3935
2021-01-31,S08000015,NHS Ayrshire and Arran,New Outpatient,32829,20719
2022-01-31,S08000015,NHS Ayrshire and Arran,New Outpatient,41121,26106
2018-03-31,S08000015,NHS Ayrshire and Arran,New Outpatient,22006,3259
2019-03-31,S08000015,NHS Ayrshire and Arran,New Outpatient,26033,4348
2020-03-31,S08000015,NHS Ayrshire and Arran,New Outpatient,20607,3936
2021-03-31,S08000015,NHS Ayrshire and Arran,New Outpatient,35477,21219
2022-03-31,S08000015,NHS Ayrshire and Arran,New Outpatient,41095,24647
2018-05-31,S08000015,NHS Ayrshire and Arran,New Outpatient,23364,3277
2019-05-31,S08000015,NHS Ayrshire and Arran,New Outpatient,25360,4134
2020-05-31,S08000015,NHS Ayrshire and Arran,New Outpatient,21980,13991
2021-05-31,S08000015,NHS Ayrshire and Arran,New Outpatient,37593,21481
2022-05-31,S08000015,NHS Ayrshire and Arran,New Outpatient,41675,24693
2018-07-31,S08000015,NHS Ayrshire and Arran,New Outpatient,24927,4085
2019-07-31,S08000015,NHS Ayrshire and Arran,New Outpatient,25536,4112
2020-07-31,S08000015,NHS Ayrshire and Arran,New Outpatient,25374,15661
2021-07-31,S08000015,NHS Ayrshire and Arran,New Outpatient,39421,22648
2022-07-31,S08000015,NHS Ayrshire and Arran,New Outpatient,43841,25915
2018-08-31,S08000015,NHS Ayrshire and Arran,New Outpatient,25614,5059
2019-08-31,S08000015,NHS Ayrshire and Arran,New Outpatient,25246,4387
2020-08-31,S08000015,NHS Ayrshire and Arran,New Outpatient,27670,15671
2021-08-31,S08000015,NHS Ayrshire and Arran,New Outpatient,39652,23106
2022-08-31,S08000015,NHS Ayrshire and Arran,New Outpatient,43822,26068
2018-10-31,S08000015,NHS Ayrshire and Arran,New Outpatient,25661,5010
2019-10-31,S08000015,NHS Ayrshire and Arran,New Outpatient,24015,4437
2020-10-31,S08000015,NHS Ayrshire and Arran,New Outpatient,30863,17338
2021-10-31,S08000015,NHS Ayrshire and Arran,New Outpatient,39367,24071
2018-12-31,S08000015,NHS Ayrshire and Arran,New Outpatient,25374,5027
2019-12-31,S08000015,NHS Ayrshire and Arran,New Outpatient,21580,3787
2020-12-31,S08000015,NHS Ayrshire and Arran,New Outpatient,32787,19476
2021-12-31,S08000015,NHS Ayrshire and Arran,New Outpatient,38632,23897
2018-02-28,S08000016,NHS Borders,New Outpatient,5048,1052
2019-02-28,S08000016,NHS Borders,New Outpatient,5232,657
2021-02-28,S08000016,NHS Borders,New Outpatient,6114,3319
2022-02-28,S08000016,NHS Borders,New Outpatient,9794,6020
2020-02-29,S08000016,NHS Borders,New Outpatient,3843,240
2018-04-30,S08000016,NHS Borders,New Outpatient,4942,607
2019-04-30,S08000016,NHS Borders,New Outpatient,5469,404
2020-04-30,S08000016,NHS Borders,New Outpatient,3513,830
2021-04-30,S08000016,NHS Borders,New Outpatient,7239,3500
2022-04-30,S08000016,NHS Borders,New Outpatient,9633,5416
2018-06-30,S08000016,NHS Borders,New Outpatient,4565,589
2019-06-30,S08000016,NHS Borders,New Outpatient,6283,849
2020-06-30,S08000016,NHS Borders,New Outpatient,3529,2095
2021-06-30,S08000016,NHS Borders,New Outpatient,8338,4090
2022-06-30,S08000016,NHS Borders,New Outpatient,10439,6134
2018-09-30,S08000016,NHS Borders,New Outpatient,5253,790
2019-09-30,S08000016,NHS Borders,New Outpatient,5237,559
2020-09-30,S08000016,NHS Borders,New Outpatient,5121,2055
2021-09-30,S08000016,NHS Borders,New Outpatient,9334,5618
2022-09-30,S08000016,NHS Borders,New Outpatient,10955,7078
2018-11-30,S08000016,NHS Borders,New Outpatient,5398,724
2019-11-30,S08000016,NHS Borders,New Outpatient,4306,198
2020-11-30,S08000016,NHS Borders,New Outpatient,5785,2628
2021-11-30,S08000016,NHS Borders,New Outpatient,10061,5983
2018-01-31,S08000016,NHS Borders,New Outpatient,5386,1295
2019-01-31,S08000016,NHS Borders,New Outpatient,5260,776
2020-01-31,S08000016,NHS Borders,New Outpatient,3852,154
2021-01-31,S08000016,NHS Borders,New Outpatient,5922,3185
2022-01-31,S08000016,NHS Borders,New Outpatient,9845,6200
2018-03-31,S08000016,NHS Borders,New Outpatient,4837,610
2019-03-31,S08000016,NHS Borders,New Outpatient,4825,214
2020-03-31,S08000016,NHS Borders,New Outpatient,3552,240
2021-03-31,S08000016,NHS Borders,New Outpatient,6622,3371
2022-03-31,S08000016,NHS Borders,New Outpatient,9371,5236
