_id,Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
1,2012Q1,S08000015,S08000015,"",Breast,"",78,"",78,""
2,2012Q1,S08000015,S08000015,"",Cervical,"",4,"",4,""
3,2012Q1,S08000015,S08000015,"",Colorectal,"",53,"",53,""
4,2012Q1,S08000015,S08000015,"",Head & Neck,"",11,"",11,""
5,2012Q1,S08000015,S08000015,"",Lung,"",52,"",52,""
6,2012Q1,S08000015,S08000015,"",Lymphoma,"",25,"",25,""
7,2012Q1,S08000015,S08000015,"",Melanoma,"",15,"",15,""
8,2012Q1,S08000015,S08000015,"",Ovarian,"",6,"",6,""
9,2012Q1,S08000015,S08000015,"",Upper GI,"",26,"",26,""
10,2012Q1,S08000015,S08000015,"",Urological,"",65,"",63,""
11,2012Q1,S08000015,S08000017,"",Breast,"",2,"",2,""
12,2012Q1,S08000015,S08000020,"",Lung,"",1,"",1,""
13,2012Q1,S08000015,S08000031,"",Breast,"",8,"",8,""
14,2012Q1,S08000015,S08000031,"",Cervical,"",1,"",1,""
15,2012Q1,S08000015,S08000031,"",Colorectal,"",3,"",2,""
16,2012Q1,S08000015,S08000031,"",Head & Neck,"",6,"",5,""
17,2012Q1,S08000015,S08000031,"",Lung,"",15,"",15,""
18,2012Q1,S08000015,S08000031,"",Melanoma,"",2,"",2,""
19,2012Q1,S08000015,S08000031,"",Ovarian,"",6,"",6,""
20,2012Q1,S08000015,S08000031,"",Upper GI,"",16,"",16,""
21,2012Q1,S08000015,S08000031,"",Urological,"",1,"",1,""
22,2012Q1,S08000015,SB0801,"",Lung,"",6,"",6,""
23,2012Q1,S08000016,S08000016,"",Breast,"",16,"",16,""
24,2012Q1,S08000016,S08000016,"",Cervical,"",1,"",1,""
25,2012Q1,S08000016,S08000016,"",Colorectal,"",18,"",18,""
26,2012Q1,S08000016,S08000016,"",Head & Neck,"",2,"",2,""
27,2012Q1,S08000016,S08000016,"",Lung,"",19,"",19,""
28,2012Q1,S08000016,S08000016,"",Lymphoma,"",7,"",7,""
29,2012Q1,S08000016,S08000016,"",Melanoma,"",3,"",3,""
30,2012Q1,S08000016,S08000016,"",Ovarian,"",3,"",3,""
31,2012Q1,S08000016,S08000016,"",Upper GI,"",10,"",10,""
32,2012Q1,S08000016,S08000016,"",Urological,"",21,"",21,""
33,2012Q1,S08000016,S08000024,"",Breast,"",1,"",1,""
