_id,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
1,2017Q2,"",SB0801,"",D102H,"", ,z,All Acute,d,15604,"",11614,"",171.47252747252747,"",127.62637362637362,"",74.42963342732632,""
2,2017Q2,"",SB0801,"",SB0801,d, ,z,All Acute,d,15604,"",11614,"",171.47252747252747,"",127.62637362637362,"",74.42963342732632,""
3,2017Q3,"",SB0801,"",D102H,"", ,z,All Acute,d,15426,"",11658,"",167.67391304347825,"",126.71739130434783,"",75.57370672889927,""
4,2017Q3,"",SB0801,"",SB0801,d, ,z,All Acute,d,15426,"",11658,"",167.67391304347825,"",126.71739130434783,"",75.57370672889927,""
5,2017Q4,"",SB0801,"",D102H,"", ,z,All Acute,d,16159,"",12434,"",175.6413043478261,"",135.15217391304347,"",76.94783093013181,""
6,2017Q4,"",SB0801,"",SB0801,d, ,z,All Acute,d,16159,"",12434,"",175.6413043478261,"",135.15217391304347,"",76.94783093013181,""
7,2018Q1,"",SB0801,"",D102H,"", ,z,All Acute,d,15681,"",11871,"",174.23333333333332,"",131.9,"",75.70308016070405,""
8,2018Q1,"",SB0801,"",SB0801,d, ,z,All Acute,d,15681,"",11871,"",174.23333333333332,"",131.9,"",75.70308016070405,""
9,2018Q2,"",SB0801,"",D102H,"", ,z,All Acute,d,15817,"",12349,"",173.8131868131868,"",135.7032967032967,"",78.0742239362711,""
10,2018Q2,"",SB0801,"",SB0801,d, ,z,All Acute,d,15817,"",12349,"",173.8131868131868,"",135.7032967032967,"",78.0742239362711,""
11,2018Q3,"",SB0801,"",D102H,"", ,z,All Acute,d,15806,"",12390,"",171.80434782608697,"",134.67391304347825,"",78.38795394154118,""
12,2018Q3,"",SB0801,"",SB0801,d, ,z,All Acute,d,15806,"",12390,"",171.80434782608697,"",134.67391304347825,"",78.38795394154118,""
13,2018Q4,"",SB0801,"",D102H,"", ,z,All Acute,d,14852,"",11765,"",161.43478260869566,"",127.8804347826087,"",79.21492054942095,""
14,2018Q4,"",SB0801,"",SB0801,d, ,z,All Acute,d,14852,"",11765,"",161.43478260869566,"",127.8804347826087,"",79.21492054942095,""
15,2019Q1,"",SB0801,"",D102H,"", ,z,All Acute,d,14783,"",11654,"",164.25555555555556,"",129.48888888888888,"",78.83379557599946,""
16,2019Q1,"",SB0801,"",SB0801,d, ,z,All Acute,d,14783,"",11654,"",164.25555555555556,"",129.48888888888888,"",78.83379557599946,""
17,2019Q2,"",SB0801,"",D102H,"", ,z,All Acute,d,14929,"",11897,"",164.05494505494505,"",130.73626373626374,"",79.69053519994641,""
18,2019Q2,"",SB0801,"",SB0801,d, ,z,All Acute,d,14929,"",11897,"",164.05494505494505,"",130.73626373626374,"",79.69053519994641,""
19,2019Q3,"",SB0801,"",D102H,"", ,z,All Acute,d,15392,"",12067,"",167.30434782608697,"",131.16304347826087,"",78.39786902286902,""
20,2019Q3,"",SB0801,"",SB0801,d, ,z,All Acute,d,15392,"",12067,"",167.30434782608697,"",131.16304347826087,"",78.39786902286902,""
21,2019Q4,"",SB0801,"",D102H,"", ,z,All Acute,d,15603,"",11659,"",169.59782608695653,"",126.72826086956522,"",74.72280971608023,""
22,2019Q4,"",SB0801,"",SB0801,d, ,z,All Acute,d,15603,"",11659,"",169.59782608695653,"",126.72826086956522,"",74.72280971608023,""
23,2020Q1,"",SB0801,"",D102H,"", ,z,All Acute,d,14896,"",10915,"",163.69230769230768,"",119.94505494505495,"",73.27470461868958,""
24,2020Q1,"",SB0801,"",SB0801,d, ,z,All Acute,d,14896,"",10915,"",163.69230769230768,"",119.94505494505495,"",73.27470461868958,""
25,2020Q2,"",SB0801,"",D102H,"", ,z,All Acute,d,14366,"",8101,"",157.86813186813185,"",89.02197802197803,"",56.39008770708619,""
26,2020Q2,"",SB0801,"",SB0801,d, ,z,All Acute,d,14366,"",8101,"",157.86813186813185,"",89.02197802197803,"",56.39008770708619,""
27,2020Q3,"",SB0801,"",D102H,"", ,z,All Acute,d,15442,"",9934,"",167.84782608695653,"",107.97826086956522,"",64.33104520139878,""
28,2020Q3,"",SB0801,"",SB0801,d, ,z,All Acute,d,15442,"",9934,"",167.84782608695653,"",107.97826086956522,"",64.33104520139878,""
29,2020Q4,"",SB0801,"",D102H,"", ,z,All Acute,d,15665,"",11164,"",170.27173913043478,"",121.34782608695652,"",71.26715608043409,""
30,2020Q4,"",SB0801,"",SB0801,d, ,z,All Acute,d,15665,"",11164,"",170.27173913043478,"",121.34782608695652,"",71.26715608043409,""
31,2021Q1,"",SB0801,"",D102H,"", ,z,All Acute,d,16547,"",12060,"",183.85555555555555,"",134,"",72.88330210914366,""
32,2021Q1,"",SB0801,"",SB0801,d, ,z,All Acute,d,16547,"",12060,"",183.85555555555555,"",134,"",72.88330210914366,""
33,2021Q2,"",SB0801,"",D102H,"", ,z,All Acute,d,16159,"",12269,"",177.57142857142858,"",134.82417582417582,"",75.92672813911751,""
34,2021Q2,"",SB0801,"",SB0801,d, ,z,All Acute,d,16159,"",12269,"",177.57142857142858,"",134.82417582417582,"",75.92672813911751,""
35,2021Q3,"",SB0801,"",D102H,"", ,z,All Acute,d,16897,"",12029,"",183.66304347826087,"",130.75,"",71.19015209800557,""
36,2021Q3,"",SB0801,"",SB0801,d, ,z,All Acute,d,16897,"",12029,"",183.66304347826087,"",130.75,"",71.19015209800557,""
37,2021Q4,"",SB0801,"",D102H,"", ,z,All Acute,d,17794,"",12613,"",193.41304347826087,"",137.09782608695653,"",70.88344385748006,""
38,2021Q4,"",SB0801,"",SB0801,d, ,z,All Acute,d,17794,"",12613,"",193.41304347826087,"",137.09782608695653,"",70.88344385748006,""
39,2022Q1,"",SB0801,"",D102H,"", ,z,All Acute,d,17342,"",12101,"",192.6888888888889,"",134.45555555555555,"",69.77857225233537,""
40,2022Q1,"",SB0801,"",SB0801,d, ,z,All Acute,d,17342,"",12101,"",192.6888888888889,"",134.45555555555555,"",69.77857225233537,""
41,2022Q2,p,SB0801,"",D102H,"", ,z,All Acute,d,16909,"",12412,"",185.8131868131868,"",136.3956043956044,"",73.40469572417057,""
42,2022Q2,p,SB0801,"",SB0801,d, ,z,All Acute,d,16909,"",12412,"",185.8131868131868,"",136.3956043956044,"",73.40469572417057,""
43,2017Q2,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15604,"",11614,"",171.47252747252747,"",127.62637362637362,"",74.42963342732632,""
44,2017Q2,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15604,"",11614,"",171.47252747252747,"",127.62637362637362,"",74.42963342732632,""
45,2017Q3,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,15426,"",11658,"",167.67391304347825,"",126.71739130434783,"",75.57370672889927,""
46,2017Q3,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,15426,"",11658,"",167.67391304347825,"",126.71739130434783,"",75.57370672889927,""
47,2017Q4,"",SB0801,"",D102H,"",Z9,d,All Specialties,d,16159,"",12434,"",175.6413043478261,"",135.15217391304347,"",76.94783093013181,""
48,2017Q4,"",SB0801,"",SB0801,d,Z9,d,All Specialties,d,16159,"",12434,"",175.6413043478261,"",135.15217391304347,"",76.94783093013181,""
