_id,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
1,2017Q2,"",S08000015,"",S12000008,"",Elective Inpatients,"",753,2298,3.05179282868526,"",785,3144,4.00509554140127,""
2,2017Q3,"",S08000015,"",S12000008,"",Elective Inpatients,"",744,2594,3.48655913978495,"",755,3017,3.99602649006623,""
3,2017Q4,"",S08000015,"",S12000008,"",Elective Inpatients,"",784,2631,3.35586734693878,"",795,3260,4.10062893081761,""
4,2018Q1,"",S08000015,"",S12000008,"",Elective Inpatients,"",684,2156,3.15204678362573,"",710,3002,4.22816901408451,""
5,2018Q2,"",S08000015,"",S12000008,"",Elective Inpatients,"",705,1863,2.64255319148936,"",719,2343,3.2586926286509,""
6,2018Q3,"",S08000015,"",S12000008,"",Elective Inpatients,"",653,1684,2.57886676875957,"",685,2751,4.01605839416058,""
7,2018Q4,"",S08000015,"",S12000008,"",Elective Inpatients,"",705,1892,2.68368794326241,"",722,2396,3.3185595567867,""
8,2019Q1,"",S08000015,"",S12000008,"",Elective Inpatients,"",773,1606,2.07761966364812,"",795,2438,3.06666666666667,""
9,2019Q2,"",S08000015,"",S12000008,"",Elective Inpatients,"",747,1675,2.24230254350736,"",765,2486,3.24967320261438,""
10,2019Q3,"",S08000015,"",S12000008,"",Elective Inpatients,"",651,1963,3.01536098310292,"",680,2635,3.875,""
11,2019Q4,"",S08000015,"",S12000008,"",Elective Inpatients,"",637,1876,2.94505494505495,"",660,2526,3.82727272727273,""
12,2020Q1,"",S08000015,"",S12000008,"",Elective Inpatients,"",555,1259,2.26846846846847,"",578,2106,3.64359861591696,""
13,2020Q2,"",S08000015,"",S12000008,"",Elective Inpatients,"",164,372,2.26829268292683,"",160,643,4.01875,""
14,2020Q3,"",S08000015,"",S12000008,"",Elective Inpatients,"",350,1097,3.13428571428571,"",360,1458,4.05,""
15,2020Q4,"",S08000015,"",S12000008,"",Elective Inpatients,"",401,981,2.44638403990025,"",415,1536,3.70120481927711,""
16,2021Q1,"",S08000015,"",S12000008,"",Elective Inpatients,"",275,879,3.19636363636364,"",280,1387,4.95357142857143,""
17,2021Q2,"",S08000015,"",S12000008,"",Elective Inpatients,"",479,1111,2.31941544885177,"",495,1636,3.3050505050505,""
18,2021Q3,"",S08000015,"",S12000008,"",Elective Inpatients,"",382,1084,2.83769633507853,"",405,1642,4.05432098765432,""
19,2021Q4,"",S08000015,"",S12000008,"",Elective Inpatients,"",407,1094,2.68796068796069,"",420,1641,3.90714285714286,""
20,2022Q1,"",S08000015,"",S12000008,"",Elective Inpatients,"",354,1058,2.98870056497175,"",370,1557,4.20810810810811,""
21,2022Q2,p,S08000015,"",S12000008,"",Elective Inpatients,"",457,1241,2.71553610503282,"",470,1799,3.82765957446809,""
22,2017Q2,"",S08000015,"",S08000015,d,Elective Inpatients,"",2492,7786,3.12439807383628,"",2555,10727,4.19843444227006,""
23,2017Q3,"",S08000015,"",S08000015,d,Elective Inpatients,"",2445,7728,3.16073619631902,"",2466,9750,3.95377128953771,""
24,2017Q4,"",S08000015,"",S08000015,d,Elective Inpatients,"",2413,8265,3.4251968503937,"",2471,10828,4.38203156616754,""
25,2018Q1,"",S08000015,"",S08000015,d,Elective Inpatients,"",2188,6013,2.7481718464351,"",2257,8319,3.68586619406292,""
26,2018Q2,"",S08000015,"",S08000015,d,Elective Inpatients,"",2284,6578,2.8800350262697,"",2333,8880,3.80625803686241,""
27,2018Q3,"",S08000015,"",S08000015,d,Elective Inpatients,"",2159,5818,2.69476609541454,"",2243,8472,3.77708426214891,""
28,2018Q4,"",S08000015,"",S08000015,d,Elective Inpatients,"",2224,6056,2.72302158273381,"",2298,9015,3.92297650130548,""
29,2019Q1,"",S08000015,"",S08000015,d,Elective Inpatients,"",2310,5837,2.52683982683983,"",2351,8050,3.42407486176095,""
30,2019Q2,"",S08000015,"",S08000015,d,Elective Inpatients,"",2278,5875,2.57901668129939,"",2334,8952,3.83547557840617,""
31,2019Q3,"",S08000015,"",S08000015,d,Elective Inpatients,"",2175,6216,2.85793103448276,"",2239,8332,3.72130415364002,""
32,2019Q4,"",S08000015,"",S08000015,d,Elective Inpatients,"",2061,6369,3.09024745269287,"",2114,8620,4.07757805108798,""
33,2020Q1,"",S08000015,"",S08000015,d,Elective Inpatients,"",1915,5188,2.70913838120104,"",1978,7617,3.85085945399393,""
34,2020Q2,"",S08000015,"",S08000015,d,Elective Inpatients,"",603,1582,2.62354892205638,"",604,2744,4.54304635761589,""
35,2020Q3,"",S08000015,"",S08000015,d,Elective Inpatients,"",1231,4007,3.25507717303006,"",1252,5241,4.18610223642172,""
36,2020Q4,"",S08000015,"",S08000015,d,Elective Inpatients,"",1265,3111,2.45928853754941,"",1316,5350,4.06534954407295,""
37,2021Q1,"",S08000015,"",S08000015,d,Elective Inpatients,"",1019,3055,2.99803729146222,"",1023,4334,4.23655913978495,""
38,2021Q2,"",S08000015,"",S08000015,d,Elective Inpatients,"",1490,4068,2.73020134228188,"",1541,5842,3.7910447761194,""
39,2021Q3,"",S08000015,"",S08000015,d,Elective Inpatients,"",1259,4038,3.20730738681493,"",1316,6561,4.9855623100304,""
40,2021Q4,"",S08000015,"",S08000015,d,Elective Inpatients,"",1349,4013,2.97479614529281,"",1378,5940,4.31059506531205,""
41,2022Q1,"",S08000015,"",S08000015,d,Elective Inpatients,"",1167,3733,3.19880034275921,"",1193,4751,3.9823973176865,""
42,2022Q2,p,S08000015,"",S08000015,d,Elective Inpatients,"",1421,4164,2.93033075299085,"",1442,6243,4.32940360610263,""
43,2017Q2,"",S08000015,"",S12000021,"",Elective Inpatients,"",980,2978,3.03877551020408,"",1003,3932,3.92023928215354,""
44,2017Q3,"",S08000015,"",S12000021,"",Elective Inpatients,"",915,2901,3.17049180327869,"",917,3822,4.16793893129771,""
45,2017Q4,"",S08000015,"",S12000021,"",Elective Inpatients,"",873,3119,3.57273768613975,"",909,4316,4.74807480748075,""
46,2018Q1,"",S08000015,"",S12000021,"",Elective Inpatients,"",824,2023,2.45509708737864,"",846,2675,3.16193853427896,""
47,2018Q2,"",S08000015,"",S12000021,"",Elective Inpatients,"",915,2801,3.06120218579235,"",939,3642,3.87859424920128,""
48,2018Q3,"",S08000015,"",S12000021,"",Elective Inpatients,"",853,2227,2.61078546307151,"",885,2967,3.35254237288136,""
49,2018Q4,"",S08000015,"",S12000021,"",Elective Inpatients,"",861,2283,2.65156794425087,"",888,3841,4.32545045045045,""
50,2019Q1,"",S08000015,"",S12000021,"",Elective Inpatients,"",897,2153,2.40022296544036,"",902,2938,3.25720620842572,""
51,2019Q2,"",S08000015,"",S12000021,"",Elective Inpatients,"",833,2187,2.62545018007203,"",861,3202,3.71893147502904,""
52,2019Q3,"",S08000015,"",S12000021,"",Elective Inpatients,"",842,2292,2.72209026128266,"",864,3061,3.54282407407407,""
53,2019Q4,"",S08000015,"",S12000021,"",Elective Inpatients,"",790,2296,2.90632911392405,"",821,3355,4.08647990255786,""
54,2020Q1,"",S08000015,"",S12000021,"",Elective Inpatients,"",756,2295,3.03571428571429,"",774,2935,3.79198966408269,""
55,2020Q2,"",S08000015,"",S12000021,"",Elective Inpatients,"",249,631,2.53413654618474,"",253,946,3.73913043478261,""
56,2020Q3,"",S08000015,"",S12000021,"",Elective Inpatients,"",457,1688,3.69365426695842,"",465,2116,4.5505376344086,""
57,2020Q4,"",S08000015,"",S12000021,"",Elective Inpatients,"",468,1323,2.82692307692308,"",492,2143,4.35569105691057,""
58,2021Q1,"",S08000015,"",S12000021,"",Elective Inpatients,"",413,1255,3.03874092009685,"",415,1879,4.52771084337349,""
59,2021Q2,"",S08000015,"",S12000021,"",Elective Inpatients,"",541,1716,3.17190388170055,"",561,2406,4.28877005347594,""
60,2021Q3,"",S08000015,"",S12000021,"",Elective Inpatients,"",472,1613,3.41737288135593,"",496,2378,4.79435483870968,""
61,2021Q4,"",S08000015,"",S12000021,"",Elective Inpatients,"",500,1688,3.376,"",510,2389,4.6843137254902,""
62,2022Q1,"",S08000015,"",S12000021,"",Elective Inpatients,"",432,1343,3.1087962962963,"",435,1624,3.73333333333333,""
63,2022Q2,p,S08000015,"",S12000021,"",Elective Inpatients,"",537,1685,3.13780260707635,"",548,2483,4.53102189781022,""
64,2017Q2,"",S08000015,"",S12000028,"",Elective Inpatients,"",759,2510,3.30698287220026,"",769,3651,4.74772431729519,""
65,2017Q3,"",S08000015,"",S12000028,"",Elective Inpatients,"",786,2233,2.84096692111959,"",794,2911,3.66624685138539,""
66,2017Q4,"",S08000015,"",S12000028,"",Elective Inpatients,"",756,2515,3.32671957671958,"",766,3252,4.24543080939948,""
67,2018Q1,"",S08000015,"",S12000028,"",Elective Inpatients,"",680,1834,2.69705882352941,"",703,2642,3.75817923186344,""
68,2018Q2,"",S08000015,"",S12000028,"",Elective Inpatients,"",664,1914,2.88253012048193,"",675,2895,4.28888888888889,""
69,2018Q3,"",S08000015,"",S12000028,"",Elective Inpatients,"",653,1907,2.92036753445636,"",670,2754,4.11044776119403,""
70,2018Q4,"",S08000015,"",S12000028,"",Elective Inpatients,"",658,1881,2.85866261398176,"",688,2778,4.03779069767442,""
71,2019Q1,"",S08000015,"",S12000028,"",Elective Inpatients,"",640,2078,3.246875,"",655,2674,4.0824427480916,""
72,2019Q2,"",S08000015,"",S12000028,"",Elective Inpatients,"",698,2013,2.88395415472779,"",708,3264,4.61016949152542,""
73,2019Q3,"",S08000015,"",S12000028,"",Elective Inpatients,"",682,1961,2.87536656891496,"",695,2636,3.79280575539568,""
74,2019Q4,"",S08000015,"",S12000028,"",Elective Inpatients,"",634,2197,3.46529968454259,"",630,2739,4.34761904761905,""
75,2020Q1,"",S08000015,"",S12000028,"",Elective Inpatients,"",604,1634,2.70529801324503,"",625,2576,4.1216,""
76,2020Q2,"",S08000015,"",S12000028,"",Elective Inpatients,"",190,579,3.04736842105263,"",190,1155,6.07894736842105,""
77,2020Q3,"",S08000015,"",S12000028,"",Elective Inpatients,"",424,1222,2.88207547169811,"",425,1667,3.92235294117647,""
78,2020Q4,"",S08000015,"",S12000028,"",Elective Inpatients,"",396,807,2.03787878787879,"",410,1671,4.07560975609756,""
79,2021Q1,"",S08000015,"",S12000028,"",Elective Inpatients,"",331,921,2.78247734138973,"",325,1068,3.28615384615385,""
80,2021Q2,"",S08000015,"",S12000028,"",Elective Inpatients,"",470,1241,2.64042553191489,"",485,1800,3.71134020618557,""
