_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
1,2012Q1,S08000015,"",S08000015,Breast,"",52,"",52,""
2,2012Q1,S08000015,"",S08000015,Cervical,"",2,"",2,""
3,2012Q1,S08000015,"",S08000015,Colorectal,"",31,"",29,""
4,2012Q1,S08000015,"",S08000015,Head & Neck,"",2,"",2,""
5,2012Q1,S08000015,"",S08000015,Lung,"",34,"",33,""
6,2012Q1,S08000015,"",S08000015,Lymphoma,"",10,"",9,""
7,2012Q1,S08000015,"",S08000015,Melanoma,"",2,"",2,""
8,2012Q1,S08000015,"",S08000015,Ovarian,"",2,"",2,""
9,2012Q1,S08000015,"",S08000015,Upper GI,"",22,"",22,""
10,2012Q1,S08000015,"",S08000015,Urological,"",12,"",11,""
11,2012Q1,S08000015,"",S08000017,Breast,"",2,"",2,""
12,2012Q1,S08000015,"",S08000020,Lung,"",1,"",1,""
13,2012Q1,S08000015,"",S08000031,Breast,"",5,"",3,""
14,2012Q1,S08000015,"",S08000031,Cervical,"",1,"",1,""
15,2012Q1,S08000015,"",S08000031,Colorectal,"",1,"",1,""
16,2012Q1,S08000015,"",S08000031,Head & Neck,"",1,"",1,""
17,2012Q1,S08000015,"",S08000031,Lung,"",7,"",7,""
18,2012Q1,S08000015,"",S08000031,Melanoma,"",1,"",0,""
19,2012Q1,S08000015,"",S08000031,Ovarian,"",3,"",2,""
20,2012Q1,S08000015,"",S08000031,Upper GI,"",6,"",5,""
21,2012Q1,S08000015,"",S08000031,Urological,"",1,"",1,""
22,2012Q1,S08000015,"",SB0801,Lung,"",2,"",2,""
23,2012Q1,S08000016,"",S08000016,Breast,"",6,"",6,""
24,2012Q1,S08000016,"",S08000016,Cervical,"",1,"",1,""
25,2012Q1,S08000016,"",S08000016,Colorectal,"",13,"",13,""
26,2012Q1,S08000016,"",S08000016,Head & Neck,"",1,"",1,""
27,2012Q1,S08000016,"",S08000016,Lung,"",13,"",13,""
28,2012Q1,S08000016,"",S08000016,Lymphoma,"",3,"",3,""
29,2012Q1,S08000016,"",S08000016,Melanoma,"",3,"",3,""
30,2012Q1,S08000016,"",S08000016,Ovarian,"",2,"",2,""
31,2012Q1,S08000016,"",S08000016,Upper GI,"",6,"",6,""
32,2012Q1,S08000016,"",S08000016,Urological,"",13,"",13,""
33,2012Q1,S08000016,"",S08000024,Breast,"",1,"",1,""
34,2012Q1,S08000016,"",S08000024,Colorectal,"",2,"",1,""
35,2012Q1,S08000016,"",S08000024,Head & Neck,"",1,"",1,""
36,2012Q1,S08000016,"",S08000024,Lung,"",3,"",3,""
37,2012Q1,S08000016,"",S08000024,Melanoma,"",1,"",1,""
38,2012Q1,S08000016,"",S08000024,Upper GI,"",1,"",1,""
39,2012Q1,S08000016,"",S08000024,Urological,"",1,"",1,""
40,2012Q1,S08000017,"",S08000017,Breast,"",8,"",8,""
41,2012Q1,S08000017,"",S08000017,Colorectal,"",20,"",20,""
42,2012Q1,S08000017,"",S08000017,Head & Neck,"",2,"",2,""
43,2012Q1,S08000017,"",S08000017,Lung,"",12,"",12,""
44,2012Q1,S08000017,"",S08000017,Lymphoma,"",2,"",2,""
45,2012Q1,S08000017,"",S08000017,Melanoma,"",3,"",3,""
46,2012Q1,S08000017,"",S08000017,Ovarian,"",2,"",2,""
47,2012Q1,S08000017,"",S08000017,Upper GI,"",17,"",17,""
48,2012Q1,S08000017,"",S08000017,Urological,"",17,"",17,""
49,2012Q1,S08000017,"",S08000024,Breast,"",3,"",3,""
50,2012Q1,S08000017,"",S08000024,Head & Neck,"",1,"",1,""
51,2012Q1,S08000017,"",S08000024,Lung,"",2,"",2,""
52,2012Q1,S08000017,"",S08000024,Melanoma,"",1,"",1,""
53,2012Q1,S08000017,"",S08000024,Ovarian,"",1,"",1,""
54,2012Q1,S08000017,"",S08000024,Upper GI,"",4,"",4,""
55,2012Q1,S08000017,"",S08000024,Urological,"",4,"",2,""
56,2012Q1,S08000017,"",S08000031,Head & Neck,"",2,"",2,""
57,2012Q1,S08000017,"",SB0801,Lung,"",1,"",1,""
58,2012Q1,S08000019,"",S08000019,Breast,"",25,"",21,""
59,2012Q1,S08000019,"",S08000019,Colorectal,"",22,"",20,""
60,2012Q1,S08000019,"",S08000019,Head & Neck,"",2,"",2,""
61,2012Q1,S08000019,"",S08000019,Lung,"",24,"",24,""
62,2012Q1,S08000019,"",S08000019,Lymphoma,"",5,"",5,""
63,2012Q1,S08000019,"",S08000019,Melanoma,"",5,"",5,""
64,2012Q1,S08000019,"",S08000019,Ovarian,"",1,"",1,""
65,2012Q1,S08000019,"",S08000019,Upper GI,"",16,"",16,""
66,2012Q1,S08000019,"",S08000019,Urological,"",36,"",30,""
67,2012Q1,S08000019,"",S08000024,Lung,"",1,"",1,""
68,2012Q1,S08000019,"",S08000031,Breast,"",2,"",2,""
69,2012Q1,S08000019,"",S08000031,Cervical,"",1,"",1,""
70,2012Q1,S08000019,"",S08000031,Colorectal,"",1,"",1,""
71,2012Q1,S08000019,"",S08000031,Head & Neck,"",4,"",3,""
72,2012Q1,S08000019,"",S08000031,Lung,"",15,"",14,""
73,2012Q1,S08000019,"",S08000031,Ovarian,"",3,"",3,""
74,2012Q1,S08000019,"",S08000031,Upper GI,"",4,"",4,""
75,2012Q1,S08000019,"",SB0801,Lung,"",3,"",3,""
76,2012Q1,S08000020,"",S08000020,Breast,"",86,"",86,""
77,2012Q1,S08000020,"",S08000020,Cervical,"",4,"",4,""
78,2012Q1,S08000020,"",S08000020,Colorectal,"",44,"",32,""
79,2012Q1,S08000020,"",S08000020,Head & Neck,"",10,"",9,""
80,2012Q1,S08000020,"",S08000020,Lung,"",45,"",42,""
81,2012Q1,S08000020,"",S08000020,Lymphoma,"",5,"",2,""
82,2012Q1,S08000020,"",S08000020,Melanoma,"",9,"",9,""
83,2012Q1,S08000020,"",S08000020,Ovarian,"",9,"",9,""
84,2012Q1,S08000020,"",S08000020,Upper GI,"",27,"",25,""
85,2012Q1,S08000020,"",S08000020,Urological,"",41,"",36,""
86,2012Q1,S08000022,"",S08000020,Head & Neck,"",1,"",1,""
87,2012Q1,S08000022,"",S08000022,Breast,"",36,"",36,""
88,2012Q1,S08000022,"",S08000022,Cervical,"",3,"",3,""
89,2012Q1,S08000022,"",S08000022,Colorectal,"",30,"",27,""
90,2012Q1,S08000022,"",S08000022,Head & Neck,"",8,"",7,""
91,2012Q1,S08000022,"",S08000022,Lung,"",26,"",25,""
92,2012Q1,S08000022,"",S08000022,Lymphoma,"",5,"",5,""
93,2012Q1,S08000022,"",S08000022,Melanoma,"",8,"",8,""
