_id,MonthOfDelay,CA,CAQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
1,201607,S12000005,"",18plus,d,All Delay Reasons,d,236,8
2,201607,S12000005,"",18plus,d,Health and Social Care Reasons,"",74,2
3,201607,S12000005,"",18plus,d,Patient and Family Related Reasons,"",0,0
4,201607,S12000005,"",18plus,d,Code 9 AWI,"",75,2
5,201607,S12000005,"",18plus,d,Code 9 Non-AWI,"",87,3
6,201607,S12000005,"",18-74,"",All Delay Reasons,d,118,4
7,201607,S12000005,"",18-74,"",Health and Social Care Reasons,"",0,0
8,201607,S12000005,"",18-74,"",Patient and Family Related Reasons,"",0,0
9,201607,S12000005,"",18-74,"",Code 9 AWI,"",31,1
10,201607,S12000005,"",18-74,"",Code 9 Non-AWI,"",87,3
11,201607,S12000005,"",75plus,"",All Delay Reasons,d,118,4
12,201607,S12000005,"",75plus,"",Health and Social Care Reasons,"",74,2
13,201607,S12000005,"",75plus,"",Patient and Family Related Reasons,"",0,0
14,201607,S12000005,"",75plus,"",Code 9 AWI,"",44,1
15,201607,S12000005,"",75plus,"",Code 9 Non-AWI,"",0,0
16,201607,S12000006,"",18plus,d,All Delay Reasons,d,1072,35
17,201607,S12000006,"",18plus,d,Health and Social Care Reasons,"",801,26
18,201607,S12000006,"",18plus,d,Patient and Family Related Reasons,"",0,0
19,201607,S12000006,"",18plus,d,Code 9 AWI,"",271,9
20,201607,S12000006,"",18plus,d,Code 9 Non-AWI,"",0,0
21,201607,S12000006,"",18-74,"",All Delay Reasons,d,280,9
22,201607,S12000006,"",18-74,"",Health and Social Care Reasons,"",223,7
23,201607,S12000006,"",18-74,"",Patient and Family Related Reasons,"",0,0
24,201607,S12000006,"",18-74,"",Code 9 AWI,"",57,2
25,201607,S12000006,"",18-74,"",Code 9 Non-AWI,"",0,0
26,201607,S12000006,"",75plus,"",All Delay Reasons,d,792,26
27,201607,S12000006,"",75plus,"",Health and Social Care Reasons,"",578,19
28,201607,S12000006,"",75plus,"",Patient and Family Related Reasons,"",0,0
29,201607,S12000006,"",75plus,"",Code 9 AWI,"",214,7
30,201607,S12000006,"",75plus,"",Code 9 Non-AWI,"",0,0
31,201607,S12000008,"",18plus,d,All Delay Reasons,d,501,16
32,201607,S12000008,"",18plus,d,Health and Social Care Reasons,"",147,5
33,201607,S12000008,"",18plus,d,Patient and Family Related Reasons,"",0,0
34,201607,S12000008,"",18plus,d,Code 9 AWI,"",228,7
35,201607,S12000008,"",18plus,d,Code 9 Non-AWI,"",126,4
36,201607,S12000008,"",18-74,"",All Delay Reasons,d,90,3
37,201607,S12000008,"",18-74,"",Health and Social Care Reasons,"",19,1
38,201607,S12000008,"",18-74,"",Patient and Family Related Reasons,"",0,0
39,201607,S12000008,"",18-74,"",Code 9 AWI,"",62,2
40,201607,S12000008,"",18-74,"",Code 9 Non-AWI,"",9,0
41,201607,S12000008,"",75plus,"",All Delay Reasons,d,411,13
42,201607,S12000008,"",75plus,"",Health and Social Care Reasons,"",128,4
43,201607,S12000008,"",75plus,"",Patient and Family Related Reasons,"",0,0
44,201607,S12000008,"",75plus,"",Code 9 AWI,"",166,5
45,201607,S12000008,"",75plus,"",Code 9 Non-AWI,"",117,4
46,201607,S12000010,"",18plus,d,All Delay Reasons,d,1358,44
47,201607,S12000010,"",18plus,d,Health and Social Care Reasons,"",1284,41
48,201607,S12000010,"",18plus,d,Patient and Family Related Reasons,"",0,0
49,201607,S12000010,"",18plus,d,Code 9 AWI,"",43,1
50,201607,S12000010,"",18plus,d,Code 9 Non-AWI,"",31,1
51,201607,S12000010,"",18-74,"",All Delay Reasons,d,369,12
52,201607,S12000010,"",18-74,"",Health and Social Care Reasons,"",301,10
