_id,MonthOfDelay,HBT,HBTQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
1,201607,S08000015,"",18plus,d,All Delay Reasons,d,2574,83
2,201607,S08000015,"",18plus,d,Health and Social Care Reasons,"",1976,64
3,201607,S08000015,"",18plus,d,Patient and Family Related Reasons,"",0,0
4,201607,S08000015,"",18plus,d,Code 9 AWI,"",472,15
5,201607,S08000015,"",18plus,d,Code 9 Non-AWI,"",126,4
6,201607,S08000015,"",18-74,"",All Delay Reasons,d,355,11
7,201607,S08000015,"",18-74,"",Health and Social Care Reasons,"",222,7
8,201607,S08000015,"",18-74,"",Patient and Family Related Reasons,"",0,0
9,201607,S08000015,"",18-74,"",Code 9 AWI,"",124,4
10,201607,S08000015,"",18-74,"",Code 9 Non-AWI,"",9,0
11,201607,S08000015,"",75plus,"",All Delay Reasons,d,2219,72
12,201607,S08000015,"",75plus,"",Health and Social Care Reasons,"",1754,57
13,201607,S08000015,"",75plus,"",Patient and Family Related Reasons,"",0,0
14,201607,S08000015,"",75plus,"",Code 9 AWI,"",348,11
15,201607,S08000015,"",75plus,"",Code 9 Non-AWI,"",117,4
16,201607,S08000016,"",18plus,d,All Delay Reasons,d,790,25
17,201607,S08000016,"",18plus,d,Health and Social Care Reasons,"",548,18
18,201607,S08000016,"",18plus,d,Patient and Family Related Reasons,"",90,3
19,201607,S08000016,"",18plus,d,Code 9 AWI,"",75,2
20,201607,S08000016,"",18plus,d,Code 9 Non-AWI,"",77,2
21,201607,S08000016,"",18-74,"",All Delay Reasons,d,165,5
22,201607,S08000016,"",18-74,"",Health and Social Care Reasons,"",77,2
23,201607,S08000016,"",18-74,"",Patient and Family Related Reasons,"",25,1
24,201607,S08000016,"",18-74,"",Code 9 AWI,"",0,0
25,201607,S08000016,"",18-74,"",Code 9 Non-AWI,"",63,2
26,201607,S08000016,"",75plus,"",All Delay Reasons,d,625,20
27,201607,S08000016,"",75plus,"",Health and Social Care Reasons,"",471,15
28,201607,S08000016,"",75plus,"",Patient and Family Related Reasons,"",65,2
29,201607,S08000016,"",75plus,"",Code 9 AWI,"",75,2
30,201607,S08000016,"",75plus,"",Code 9 Non-AWI,"",14,0
31,201607,S08000017,"",18plus,d,All Delay Reasons,d,1065,34
32,201607,S08000017,"",18plus,d,Health and Social Care Reasons,"",794,26
33,201607,S08000017,"",18plus,d,Patient and Family Related Reasons,"",0,0
34,201607,S08000017,"",18plus,d,Code 9 AWI,"",271,9
35,201607,S08000017,"",18plus,d,Code 9 Non-AWI,"",0,0
36,201607,S08000017,"",18-74,"",All Delay Reasons,d,273,9
37,201607,S08000017,"",18-74,"",Health and Social Care Reasons,"",216,7
38,201607,S08000017,"",18-74,"",Patient and Family Related Reasons,"",0,0
39,201607,S08000017,"",18-74,"",Code 9 AWI,"",57,2
40,201607,S08000017,"",18-74,"",Code 9 Non-AWI,"",0,0
41,201607,S08000017,"",75plus,"",All Delay Reasons,d,792,26
42,201607,S08000017,"",75plus,"",Health and Social Care Reasons,"",578,19
43,201607,S08000017,"",75plus,"",Patient and Family Related Reasons,"",0,0
44,201607,S08000017,"",75plus,"",Code 9 AWI,"",214,7
45,201607,S08000017,"",75plus,"",Code 9 Non-AWI,"",0,0
46,201607,S08000019,"",18plus,d,All Delay Reasons,d,2472,80
47,201607,S08000019,"",18plus,d,Health and Social Care Reasons,"",1662,54
48,201607,S08000019,"",18plus,d,Patient and Family Related Reasons,"",179,6
49,201607,S08000019,"",18plus,d,Code 9 AWI,"",415,13
50,201607,S08000019,"",18plus,d,Code 9 Non-AWI,"",216,7
51,201607,S08000019,"",18-74,"",All Delay Reasons,d,942,30
52,201607,S08000019,"",18-74,"",Health and Social Care Reasons,"",638,21
53,201607,S08000019,"",18-74,"",Patient and Family Related Reasons,"",31,1
54,201607,S08000019,"",18-74,"",Code 9 AWI,"",93,3
55,201607,S08000019,"",18-74,"",Code 9 Non-AWI,"",180,6
56,201607,S08000019,"",75plus,"",All Delay Reasons,d,1530,49
57,201607,S08000019,"",75plus,"",Health and Social Care Reasons,"",1024,33
58,201607,S08000019,"",75plus,"",Patient and Family Related Reasons,"",148,5
59,201607,S08000019,"",75plus,"",Code 9 AWI,"",322,10
60,201607,S08000019,"",75plus,"",Code 9 Non-AWI,"",36,1
61,201607,S08000020,"",18plus,d,All Delay Reasons,d,5088,164
62,201607,S08000020,"",18plus,d,Health and Social Care Reasons,"",4050,131
63,201607,S08000020,"",18plus,d,Patient and Family Related Reasons,"",94,3
64,201607,S08000020,"",18plus,d,Code 9 AWI,"",730,24
65,201607,S08000020,"",18plus,d,Code 9 Non-AWI,"",214,7
66,201607,S08000020,"",18-74,"",All Delay Reasons,d,1429,46
67,201607,S08000020,"",18-74,"",Health and Social Care Reasons,"",1045,34
68,201607,S08000020,"",18-74,"",Patient and Family Related Reasons,"",40,1
69,201607,S08000020,"",18-74,"",Code 9 AWI,"",200,6
70,201607,S08000020,"",18-74,"",Code 9 Non-AWI,"",144,5
71,201607,S08000020,"",75plus,"",All Delay Reasons,d,3659,118
72,201607,S08000020,"",75plus,"",Health and Social Care Reasons,"",3005,97
73,201607,S08000020,"",75plus,"",Patient and Family Related Reasons,"",54,2
74,201607,S08000020,"",75plus,"",Code 9 AWI,"",530,17
75,201607,S08000020,"",75plus,"",Code 9 Non-AWI,"",70,2
76,201607,S08000022,"",18plus,d,All Delay Reasons,d,4299,139
77,201607,S08000022,"",18plus,d,Health and Social Care Reasons,"",2562,83
78,201607,S08000022,"",18plus,d,Patient and Family Related Reasons,"",536,17
79,201607,S08000022,"",18plus,d,Code 9 AWI,"",475,15
80,201607,S08000022,"",18plus,d,Code 9 Non-AWI,"",726,23
81,201607,S08000022,"",18-74,"",All Delay Reasons,d,996,32
82,201607,S08000022,"",18-74,"",Health and Social Care Reasons,"",629,20
83,201607,S08000022,"",18-74,"",Patient and Family Related Reasons,"",17,1
84,201607,S08000022,"",18-74,"",Code 9 AWI,"",31,1
85,201607,S08000022,"",18-74,"",Code 9 Non-AWI,"",319,10
86,201607,S08000022,"",75plus,"",All Delay Reasons,d,3303,107
87,201607,S08000022,"",75plus,"",Health and Social Care Reasons,"",1933,62
88,201607,S08000022,"",75plus,"",Patient and Family Related Reasons,"",519,17
89,201607,S08000022,"",75plus,"",Code 9 AWI,"",444,14
90,201607,S08000022,"",75plus,"",Code 9 Non-AWI,"",407,13
91,201607,S08000024,"",18plus,d,All Delay Reasons,d,9569,309
92,201607,S08000024,"",18plus,d,Health and Social Care Reasons,"",8305,268
93,201607,S08000024,"",18plus,d,Patient and Family Related Reasons,"",52,2
94,201607,S08000024,"",18plus,d,Code 9 AWI,"",999,32
95,201607,S08000024,"",18plus,d,Code 9 Non-AWI,"",213,7
96,201607,S08000024,"",18-74,"",All Delay Reasons,d,2975,96
97,201607,S08000024,"",18-74,"",Health and Social Care Reasons,"",2500,81
98,201607,S08000024,"",18-74,"",Patient and Family Related Reasons,"",0,0
99,201607,S08000024,"",18-74,"",Code 9 AWI,"",343,11
100,201607,S08000024,"",18-74,"",Code 9 Non-AWI,"",132,4
101,201607,S08000024,"",75plus,"",All Delay Reasons,d,6594,213
102,201607,S08000024,"",75plus,"",Health and Social Care Reasons,"",5805,187
103,201607,S08000024,"",75plus,"",Patient and Family Related Reasons,"",52,2
104,201607,S08000024,"",75plus,"",Code 9 AWI,"",656,21
105,201607,S08000024,"",75plus,"",Code 9 Non-AWI,"",81,3
106,201607,S08000025,"",18plus,d,All Delay Reasons,d,192,6
107,201607,S08000025,"",18plus,d,Health and Social Care Reasons,"",96,3
108,201607,S08000025,"",18plus,d,Patient and Family Related Reasons,"",0,0
109,201607,S08000025,"",18plus,d,Code 9 AWI,"",96,3
110,201607,S08000025,"",18plus,d,Code 9 Non-AWI,"",0,0
111,201607,S08000025,"",18-74,"",All Delay Reasons,d,65,2
112,201607,S08000025,"",18-74,"",Health and Social Care Reasons,"",34,1
113,201607,S08000025,"",18-74,"",Patient and Family Related Reasons,"",0,0
114,201607,S08000025,"",18-74,"",Code 9 AWI,"",31,1
115,201607,S08000025,"",18-74,"",Code 9 Non-AWI,"",0,0
116,201607,S08000025,"",75plus,"",All Delay Reasons,d,127,4
117,201607,S08000025,"",75plus,"",Health and Social Care Reasons,"",62,2
118,201607,S08000025,"",75plus,"",Patient and Family Related Reasons,"",0,0
119,201607,S08000025,"",75plus,"",Code 9 AWI,"",65,2
120,201607,S08000025,"",75plus,"",Code 9 Non-AWI,"",0,0
121,201607,S08000026,"",18plus,d,All Delay Reasons,d,164,5
122,201607,S08000026,"",18plus,d,Health and Social Care Reasons,"",164,5
123,201607,S08000026,"",18plus,d,Patient and Family Related Reasons,"",0,0
124,201607,S08000026,"",18plus,d,Code 9 AWI,"",0,0
125,201607,S08000026,"",18plus,d,Code 9 Non-AWI,"",0,0
126,201607,S08000026,"",18-74,"",All Delay Reasons,d,34,1
127,201607,S08000026,"",18-74,"",Health and Social Care Reasons,"",34,1
128,201607,S08000026,"",18-74,"",Patient and Family Related Reasons,"",0,0
129,201607,S08000026,"",18-74,"",Code 9 AWI,"",0,0
130,201607,S08000026,"",18-74,"",Code 9 Non-AWI,"",0,0
131,201607,S08000026,"",75plus,"",All Delay Reasons,d,130,4
132,201607,S08000026,"",75plus,"",Health and Social Care Reasons,"",130,4
133,201607,S08000026,"",75plus,"",Patient and Family Related Reasons,"",0,0
134,201607,S08000026,"",75plus,"",Code 9 AWI,"",0,0
135,201607,S08000026,"",75plus,"",Code 9 Non-AWI,"",0,0
136,201607,S08000028,"",18plus,d,All Delay Reasons,d,721,23
137,201607,S08000028,"",18plus,d,Health and Social Care Reasons,"",167,5
138,201607,S08000028,"",18plus,d,Patient and Family Related Reasons,"",24,1
139,201607,S08000028,"",18plus,d,Code 9 AWI,"",62,2
140,201607,S08000028,"",18plus,d,Code 9 Non-AWI,"",468,15
141,201607,S08000028,"",18-74,"",All Delay Reasons,d,93,3
142,201607,S08000028,"",18-74,"",Health and Social Care Reasons,"",62,2
143,201607,S08000028,"",18-74,"",Patient and Family Related Reasons,"",0,0
144,201607,S08000028,"",18-74,"",Code 9 AWI,"",0,0
145,201607,S08000028,"",18-74,"",Code 9 Non-AWI,"",31,1
146,201607,S08000028,"",75plus,"",All Delay Reasons,d,628,20
147,201607,S08000028,"",75plus,"",Health and Social Care Reasons,"",105,3
148,201607,S08000028,"",75plus,"",Patient and Family Related Reasons,"",24,1
149,201607,S08000028,"",75plus,"",Code 9 AWI,"",62,2
150,201607,S08000028,"",75plus,"",Code 9 Non-AWI,"",437,14
151,201607,S08000029,"",18plus,d,All Delay Reasons,d,3476,112
152,201607,S08000029,"",18plus,d,Health and Social Care Reasons,"",2760,89
153,201607,S08000029,"",18plus,d,Patient and Family Related Reasons,"",35,1
154,201607,S08000029,"",18plus,d,Code 9 AWI,"",549,18
155,201607,S08000029,"",18plus,d,Code 9 Non-AWI,"",132,4
156,201607,S08000029,"",18-74,"",All Delay Reasons,d,1218,39
157,201607,S08000029,"",18-74,"",Health and Social Care Reasons,"",952,31
158,201607,S08000029,"",18-74,"",Patient and Family Related Reasons,"",31,1
159,201607,S08000029,"",18-74,"",Code 9 AWI,"",103,3
160,201607,S08000029,"",18-74,"",Code 9 Non-AWI,"",132,4
161,201607,S08000029,"",75plus,"",All Delay Reasons,d,2258,73
162,201607,S08000029,"",75plus,"",Health and Social Care Reasons,"",1808,58
163,201607,S08000029,"",75plus,"",Patient and Family Related Reasons,"",4,0
164,201607,S08000029,"",75plus,"",Code 9 AWI,"",446,14
165,201607,S08000029,"",75plus,"",Code 9 Non-AWI,"",0,0
166,201607,S08000030,"",18plus,d,All Delay Reasons,d,2699,87
167,201607,S08000030,"",18plus,d,Health and Social Care Reasons,"",1592,51
168,201607,S08000030,"",18plus,d,Patient and Family Related Reasons,"",131,4
