_id,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AppointmentType,AppointmentTypeQF,Appointments,AppointmentsQF,Rate,RateQF
1,2017Q2,"",S08000015,"",S12000008,"",DNA,"",907,"",9.26455566905005,""
2,2017Q3,"",S08000015,"",S12000008,"",DNA,"",855,"",9.01993881211098,""
3,2017Q4,"",S08000015,"",S12000008,"",DNA,"",939,"",9.36938734783476,""
4,2018Q1,"",S08000015,"",S12000008,"",DNA,"",841,"",8.74038661400956,""
5,2018Q2,"",S08000015,"",S12000008,"",DNA,"",787,"",8.39824991996585,""
6,2018Q3,"",S08000015,"",S12000008,"",DNA,"",895,"",9.46589106292967,""
7,2018Q4,"",S08000015,"",S12000008,"",DNA,"",912,"",9.47434032827758,""
8,2019Q1,"",S08000015,"",S12000008,"",DNA,"",862,"",8.73884833738848,""
9,2019Q2,"",S08000015,"",S12000008,"",DNA,"",803,"",8.08416389811739,""
10,2019Q3,"",S08000015,"",S12000008,"",DNA,"",779,"",8.17332913650194,""
11,2019Q4,"",S08000015,"",S12000008,"",DNA,"",845,"",8.33826721926189,""
12,2020Q1,"",S08000015,"",S12000008,"",DNA,"",736,"",8.28175987397322,""
13,2020Q2,"",S08000015,"",S12000008,"",DNA,"",198,"",6.17592014971928,""
14,2020Q3,"",S08000015,"",S12000008,"",DNA,"",425,"",8.88192267502612,""
15,2020Q4,"",S08000015,"",S12000008,"",DNA,"",490,"",8.12334217506631,""
16,2021Q1,"",S08000015,"",S12000008,"",DNA,"",469,"",7.32469155083555,""
17,2021Q2,"",S08000015,"",S12000008,"",DNA,"",577,"",7.6861595843879,""
18,2021Q3,"",S08000015,"",S12000008,"",DNA,"",649,"",8.5383502170767,""
19,2021Q4,"",S08000015,"",S12000008,"",DNA,"",896,"",10.2646351242983,""
20,2022Q1,"",S08000015,"",S12000008,"",DNA,"",673,"",8.54169310826247,""
21,2022Q2,p,S08000015,"",S12000008,"",DNA,"",718,"",8.98398398398398,""
22,2017Q2,"",S08000015,"",S12000008,"",New,"",8883,"", ,z
23,2017Q3,"",S08000015,"",S12000008,"",New,"",8624,"", ,z
24,2017Q4,"",S08000015,"",S12000008,"",New,"",9083,"", ,z
