"QuarterEnding","HBT","HBTQF","PatientType","Specialty","SpecialtyQF","NumberSeen","NumberSeenQF","WaitedOver12Weeks","WaitedOver12WeeksQF","Median","MedianQF","90thPercentile","90thPercentileQF"
"20130630","S92000003","d","New Outpatient","Z9","d",344384,,20969,,39,,83,
"20140630","S92000003","d","New Outpatient","Z9","d",363875,,25823,,42,,83,
"20150630","S92000003","d","New Outpatient","Z9","d",357137,,41652,,42,,90,
"20160630","S92000003","d","New Outpatient","Z9","d",361406,,44362,,41,,93,
"20170630","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":"
"20180630","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":"
"20190630","S92000003","d","New Outpatient","Z9","d",362014,,77292,,41,,146,
"20200630","S92000003","d","New Outpatient","Z9","d",129914,,31344,,18,,141,
"20210630","S92000003","d","New Outpatient","Z9","d",282962,,76708,,33,,250,
"20220630","S92000003","d","New Outpatient","Z9","d",300829,,90662,,39,,252,
"20130930","S92000003","d","New Outpatient","Z9","d",352772,,26145,,42,,83,
"20140930","S92000003","d","New Outpatient","Z9","d",361221,,34072,,44,,84,
"20150930","S92000003","d","New Outpatient","Z9","d",363039,,51736,,45,,100,
"20160930","S92000003","d","New Outpatient","Z9","d",350977,,62276,,45,,113,
"20170930","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":"
"20180930","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":"
"20190930","S92000003","d","New Outpatient","Z9","d",368534,,86317,,42,,146,
"20200930","S92000003","d","New Outpatient","Z9","d",192877,,53143,,22,,204,
"20210930","S92000003","d","New Outpatient","Z9","d",287920,,85603,,38,,244,
"20220930","S92000003","d","New Outpatient","Z9","d",300449,,96097,,41,,271,
"20130331","S92000003","d","New Outpatient","Z9","d",333896,,21231,,39,,83,
"20140331","S92000003","d","New Outpatient","Z9","d",365960,,28921,,42,,83,
"20150331","S92000003","d","New Outpatient","Z9","d",362458,,47308,,43,,95,
"20160331","S92000003","d","New Outpatient","Z9","d",368473,,53668,,42,,102,
"20170331","S92000003","d","New Outpatient","Z9","d",371020,,86528,,45,,138,
"20180331","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":"
"20190331","S92000003","d","New Outpatient","Z9","d",373012,,93743,,42,,160,
"20200331","S92000003","d","New Outpatient","Z9","d",327655,,73904,,41,,142,
"20210331","S92000003","d","New Outpatient","Z9","d",253700,,74015,,33,,255,
"20220331","S92000003","d","New Outpatient","Z9","d",307426,,98685,,41,,253,
"20121231","S92000003","d","New Outpatient","Z9","d",343417,,18043,,39,,82,
"20131231","S92000003","d","New Outpatient","Z9","d",363028,,26435,,42,,83,
"20141231","S92000003","d","New Outpatient","Z9","d",361806,,36395,,42,,85,
"20151231","S92000003","d","New Outpatient","Z9","d",375465,,60317,,46,,107,
"20161231","S92000003","d","New Outpatient","Z9","d",352316,,72273,,44,,126,
"20171231","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":"
"20181231","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":"
"20191231","S92000003","d","New Outpatient","Z9","d",365617,,85295,,43,,147,
"20201231","S92000003","d","New Outpatient","Z9","d",243759,,70309,,31,,266,
"20211231","S92000003","d","New Outpatient","Z9","d",302914,,96470,,40,,243,
"20130630","S08000015",,"New Outpatient","Z9","d",25391,,1770,,44,,84,
"20140630","S08000015",,"New Outpatient","Z9","d",27081,,3231,,50,,89,
"20150630","S08000015",,"New Outpatient","Z9","d",25948,,5501,,53,,113,
"20160630","S08000015",,"New Outpatient","Z9","d",26962,,6884,,48,,146,
"20170630","S08000015",,"New Outpatient","Z9","d",28171,,7012,,48,,125,
"20180630","S08000015",,"New Outpatient","Z9","d",26217,,6711,,48,,126,
"20190630","S08000015",,"New Outpatient","Z9","d",28808,,8135,,59,,134,
"20200630","S08000015",,"New Outpatient","Z9","d",8412,,2064,,25,,133,
"20210630","S08000015",,"New Outpatient","Z9","d",21542,,7177,,38,,302,
"20220630","S08000015",,"New Outpatient","Z9","d",22746,,7758,,43,,294,
"20130930","S08000015",,"New Outpatient","Z9","d",26614,,2549,,44,,84,
"20140930","S08000015",,"New Outpatient","Z9","d",27622,,4376,,50,,103,
"20150930","S08000015",,"New Outpatient","Z9","d",26558,,6563,,56,,130,
"20160930","S08000015",,"New Outpatient","Z9","d",26645,,7941,,51,,146,
"20170930","S08000015",,"New Outpatient","Z9","d",27070,,7111,,51,,138,
"20180930","S08000015",,"New Outpatient","Z9","d",26541,,7968,,56,,128,
