HB,HBName,Situation,Longitude,Latitude
S08000015,NHS Ayrshire and Arran,10,-4.626399,55.45129
S08000016,NHS Borders,4,-2.789144,55.57674
S08000017,NHS Dumfries and Galloway,2,-3.960637,55.07117
S08000019,NHS Forth Valley,1,-4.239504,56.20937
S08000020,NHS Grampian,6,-2.782377,57.29927
S08000022,NHS Highland,3,-4.930154,57.26382
S08000024,NHS Lothian,8,-3.098097,55.90442
S08000025,NHS Orkney,8,-3.060688,59.00563
S08000026,NHS Shetland,2,-1.249148,60.40597
S08000028,NHS Western Isles,8,-6.856706,57.92255
S08000029,NHS Fife,2,-3.124925,56.22867
S08000030,NHS Tayside,6,-3.556041,56.61048
S08000031,NHS Greater Glasgow and Clyde,5,-4.450461,55.88084
S08000032,NHS Lanarkshire,9,-3.84086,55.66905
