Country,WeekEnding,AgeBand,AgeBandQF,Admissions,AdmissionsQF
S92000003,20200301,Under 18,"",0,""
S92000003,20200308,Under 18,"",0,""
S92000003,20200315,Under 18,"",0,""
S92000003,20200322,Under 18,"","",c
S92000003,20200329,Under 18,"",6,""
S92000003,20200405,Under 18,"",8,""
S92000003,20200412,Under 18,"","",c
S92000003,20200419,Under 18,"","",c
S92000003,20200426,Under 18,"","",c
S92000003,20200503,Under 18,"","",c
S92000003,20200510,Under 18,"","",c
S92000003,20200517,Under 18,"","",c
S92000003,20200524,Under 18,"","",c
S92000003,20200531,Under 18,"","",c
S92000003,20200607,Under 18,"","",c
S92000003,20200614,Under 18,"",0,""
S92000003,20200621,Under 18,"",0,""
S92000003,20200628,Under 18,"","",c
S92000003,20200705,Under 18,"",0,""
S92000003,20200712,Under 18,"",0,""
S92000003,20200719,Under 18,"",0,""
S92000003,20200726,Under 18,"",0,""
S92000003,20200802,Under 18,"",0,""
S92000003,20200809,Under 18,"",0,""
S92000003,20200816,Under 18,"",0,""
S92000003,20200823,Under 18,"","",c
S92000003,20200830,Under 18,"",0,""
S92000003,20200906,Under 18,"","",c
S92000003,20200913,Under 18,"","",c
S92000003,20200920,Under 18,"","",c
S92000003,20200927,Under 18,"","",c
S92000003,20201004,Under 18,"","",c
S92000003,20201011,Under 18,"",7,""
S92000003,20201018,Under 18,"",9,""
S92000003,20201025,Under 18,"",9,""
S92000003,20201101,Under 18,"",7,""
S92000003,20201108,Under 18,"",12,""
S92000003,20201115,Under 18,"",11,""
S92000003,20201122,Under 18,"",7,""
S92000003,20201129,Under 18,"",8,""
S92000003,20201206,Under 18,"",9,""
S92000003,20201213,Under 18,"","",c
S92000003,20201220,Under 18,"",8,""
S92000003,20201227,Under 18,"",9,""
S92000003,20210103,Under 18,"",19,""
S92000003,20210110,Under 18,"",13,""
S92000003,20210117,Under 18,"",15,""
S92000003,20210124,Under 18,"",14,""
S92000003,20210131,Under 18,"",11,""
S92000003,20210207,Under 18,"",12,""
S92000003,20210214,Under 18,"",9,""
S92000003,20210221,Under 18,"",10,""
S92000003,20210228,Under 18,"",7,""
