_id,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
1,2017Q2,"",SB0801,"",D102H,"","",z,All Acute,d,15604,"",11614,"",171.4725275,"",127.6263736,"",74.42963343,""
2,2017Q2,"",SB0801,"",SB0801,d,"",z,All Acute,d,15604,"",11614,"",171.4725275,"",127.6263736,"",74.42963343,""
3,2017Q3,"",SB0801,"",D102H,"","",z,All Acute,d,15426,"",11658,"",167.673913,"",126.7173913,"",75.57370673,""
4,2017Q3,"",SB0801,"",SB0801,d,"",z,All Acute,d,15426,"",11658,"",167.673913,"",126.7173913,"",75.57370673,""
5,2017Q4,"",SB0801,"",D102H,"","",z,All Acute,d,16159,"",12434,"",175.6413043,"",135.1521739,"",76.94783093,""
6,2017Q4,"",SB0801,"",SB0801,d,"",z,All Acute,d,16159,"",12434,"",175.6413043,"",135.1521739,"",76.94783093,""
7,2018Q1,"",SB0801,"",D102H,"","",z,All Acute,d,15681,"",11871,"",174.2333333,"",131.9,"",75.70308016,""
8,2018Q1,"",SB0801,"",SB0801,d,"",z,All Acute,d,15681,"",11871,"",174.2333333,"",131.9,"",75.70308016,""
9,2018Q2,"",SB0801,"",D102H,"","",z,All Acute,d,15817,"",12349,"",173.8131868,"",135.7032967,"",78.07422394,""
10,2018Q2,"",SB0801,"",SB0801,d,"",z,All Acute,d,15817,"",12349,"",173.8131868,"",135.7032967,"",78.07422394,""
11,2018Q3,"",SB0801,"",D102H,"","",z,All Acute,d,15806,"",12390,"",171.8043478,"",134.673913,"",78.38795394,""
12,2018Q3,"",SB0801,"",SB0801,d,"",z,All Acute,d,15806,"",12390,"",171.8043478,"",134.673913,"",78.38795394,""
