Time_period,Geography_Level,Area_name,Specialty,Quarterly_available_staffed_bed_days,Quarterly_occupied_bed_days,Daily_average_available_staffed_beds,Daily_average_occupied_beds,Percentage_occupancy
Apr - Jun-17,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,15604,11614,171.5,127.6,74.4
Apr - Jun-17,National Waiting Times Centre,National Waiting Times Centre,All Acute,15604,11614,171.5,127.6,74.4
Jul - Sep-17,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,15426,11658,167.7,126.7,75.6
Jul - Sep-17,National Waiting Times Centre,National Waiting Times Centre,All Acute,15426,11658,167.7,126.7,75.6
Oct - Dec-17,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,16159,12434,175.6,135.2,76.9
Oct - Dec-17,National Waiting Times Centre,National Waiting Times Centre,All Acute,16159,12434,175.6,135.2,76.9
Jan - Mar-18,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,15681,11871,174.2,131.9,75.7
Jan - Mar-18,National Waiting Times Centre,National Waiting Times Centre,All Acute,15681,11871,174.2,131.9,75.7
Apr - Jun-18,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,15817,12349,173.8,135.7,78.1
Apr - Jun-18,National Waiting Times Centre,National Waiting Times Centre,All Acute,15817,12349,173.8,135.7,78.1
Jul - Sep-18,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,15806,12390,171.8,134.7,78.4
Jul - Sep-18,National Waiting Times Centre,National Waiting Times Centre,All Acute,15806,12390,171.8,134.7,78.4
Oct - Dec-18,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,14852,11765,161.4,127.9,79.2
Oct - Dec-18,National Waiting Times Centre,National Waiting Times Centre,All Acute,14852,11765,161.4,127.9,79.2
Jan - Mar-19,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,14783,11654,164.3,129.5,78.8
Jan - Mar-19,National Waiting Times Centre,National Waiting Times Centre,All Acute,14783,11654,164.3,129.5,78.8
Apr - Jun-19,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,14929,11897,164.1,130.7,79.7
Apr - Jun-19,National Waiting Times Centre,National Waiting Times Centre,All Acute,14929,11897,164.1,130.7,79.7
Jul - Sep-19,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,15392,12067,167.3,131.2,78.4
Jul - Sep-19,National Waiting Times Centre,National Waiting Times Centre,All Acute,15392,12067,167.3,131.2,78.4
Oct - Dec-19,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,15603,11659,169.6,126.7,74.7
Oct - Dec-19,National Waiting Times Centre,National Waiting Times Centre,All Acute,15603,11659,169.6,126.7,74.7
Jan - Mar-20,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,14896,10915,163.7,119.9,73.3
Jan - Mar-20,National Waiting Times Centre,National Waiting Times Centre,All Acute,14896,10915,163.7,119.9,73.3
Apr - Jun-20,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,14366,8101,157.9,89,56.4
Apr - Jun-20,National Waiting Times Centre,National Waiting Times Centre,All Acute,14366,8101,157.9,89,56.4
Jul - Sep-20,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,15442,9934,167.8,108,64.3
Jul - Sep-20,National Waiting Times Centre,National Waiting Times Centre,All Acute,15442,9934,167.8,108,64.3
Oct - Dec-20,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,15665,11164,170.3,121.3,71.3
Oct - Dec-20,National Waiting Times Centre,National Waiting Times Centre,All Acute,15665,11164,170.3,121.3,71.3
Jan - Mar-21,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,16547,12060,183.9,134,72.9
Jan - Mar-21,National Waiting Times Centre,National Waiting Times Centre,All Acute,16547,12060,183.9,134,72.9
Apr - Jun-21,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,16159,12269,177.6,134.8,75.9
Apr - Jun-21,National Waiting Times Centre,National Waiting Times Centre,All Acute,16159,12269,177.6,134.8,75.9
Jul - Sep-21,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,16897,12029,183.7,130.8,71.2
Jul - Sep-21,National Waiting Times Centre,National Waiting Times Centre,All Acute,16897,12029,183.7,130.8,71.2
Oct - Dec-21,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,17794,12613,193.4,137.1,70.9
Oct - Dec-21,National Waiting Times Centre,National Waiting Times Centre,All Acute,17794,12613,193.4,137.1,70.9
Jan - Mar-22,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,17342,12101,192.7,134.5,69.8
Jan - Mar-22,National Waiting Times Centre,National Waiting Times Centre,All Acute,17342,12101,192.7,134.5,69.8
Apr - Jun-22,National Waiting Times Centre,Golden Jubilee National Hospital,All Acute,16909,12412,185.8,136.4,73.4
